"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"ZMAT3",5.18605642882977,5.06794499663194,5.20338642808979,4.61242746489637,4.47520003065834,4.64929631991128,4.78532438215631,4.97396096138474,4.72503927070643,3.85249748192455,4.32723754494389,3.7677806859816
"FLJ32255",6.12196036188544,6.21091023958258,6.2365960270967,6.88118401371686,6.86042593248728,7.01940516913127,6.08550178198254,5.52766007085171,5.47607837864902,7.48389205444282,7.64449260681148,7.27303892203054
"TMEM168",6.47996536138525,6.36542071415725,6.57236245036168,5.56491526728357,5.62865783503409,5.92305762252822,6.67546998154791,6.75728738642236,7.03285281845042,6.30389041495905,6.4029785722691,6.19488507869958
"DCLRE1C",4.92597082671702,4.98369151995417,4.77536551584419,5.45856894727344,5.28041094051472,5.78907229327858,5.38838790117661,5.21874228072065,5.81682372216356,6.00008010329726,5.84025036912767,5.71925289442505
"MT1IP",5.6311098582608,5.65982749756174,5.43949222826884,5.9171527222965,6.12721715435713,5.84523343232436,5.4913271229525,5.47119030086541,5.38305010866679,5.99596252370696,6.01207550765674,5.97422980962039
"SGCD",6.78962002841236,6.78308545231361,6.97403075410665,6.38639020099631,6.23172876460635,6.40703254272762,6.22133276888705,6.28507745524982,6.38305361478878,5.86477638897146,6.17534267619179,6.07994580069275
"SH3BGRL",6.4790357930457,6.53407806925276,6.56035060871147,6.60185863709893,6.64213633941858,6.79629198586346,7.12612667615704,7.00355573441763,7.17207327807423,7.53902694104297,7.51582910194425,7.38473955444641
"IGFL2-AS1",8.36961459829627,8.13062395585711,8.25326451735765,7.71868823711393,7.54267331721756,8.02743392797164,8.29870321084789,8.08869028357705,8.37027437246463,8.39750320424604,8.45006603568912,8.09043486692821
"WFDC21P",7.09856089129105,7.069745841724,6.8522637090895,6.61240152956655,6.72986159191532,6.7030393866964,6.55566693826035,6.31657888774954,6.39612559264709,6.11339339637495,6.12075455074332,6.39498365814166
"MT1HL1",7.75117787808695,7.25370823450731,7.76724513827339,8.6647788618823,8.51035783783877,8.27124081896141,7.15148703646815,6.96450537909414,6.98454499327863,8.19743136676779,8.38146784377002,8.22216583017774
"SVIL2P",6.53209895445299,6.61635130382667,6.72175153715096,6.36519313009902,6.52987572370833,6.57100786168191,7.30707467958736,7.12685046908991,7.37324743927305,7.07551799239342,7.10532074483356,6.90616210709742
"MFSD14A",9.19170313804558,9.17459813896118,9.34130553868997,10.0023790585545,9.99840199940697,10.1975782557012,9.06293037154393,9.00193763981523,9.31144358385974,9.62394129806504,9.61857519357357,9.56396900804128
"EMBP1",5.7812449852401,6.12021679977065,6.09821293754576,5.825691186528,5.73740441281953,6.33513195394377,4.76647071292021,4.6478203337474,4.95597908414942,5.19517555422505,5.1129877565315,4.80262911636646
"TNS3",9.4058996353286,9.40155523086774,9.45741888473039,9.06518169537962,9.10415492408706,9.23471140732512,9.64637824578673,9.65730471996087,9.76334067058119,9.80249367119317,9.82030795615958,9.66522661083699
"PARP12",6.57307129506902,6.60633786332395,6.54224818210114,8.95530812002014,8.95996224824135,9.2317791612662,6.45699584493224,6.36234192265469,6.59213450925138,9.59663480797282,9.66818635627111,9.47171818569186
"GAREM1",6.47152084417512,6.55352420565205,6.64909450353545,6.38074656149072,6.46373980283968,6.49460017812305,7.19231714323469,7.19496788904858,7.39383894106579,7.41516506191825,7.39011862973011,7.22002683064928
"FNDC3B",9.13802852516865,9.09917487409387,9.12466988662859,9.25187837294333,9.20843598252989,9.37094211598061,9.67576670459605,9.61090559396932,9.84948944318912,10.1378233053366,10.0776267396438,9.96633347966262
"AEN",7.82969595411051,7.72905200746056,7.85269173928946,8.0056774550885,7.99122126451025,8.21757756335422,6.78489368130265,7.01062305055057,6.8686393518438,7.10121407801635,7.28985046749833,7.11328230314129
"OCLNP1",8.43512719493644,8.47004690230008,8.58690842357774,8.75455982207516,8.80171914729247,9.1345030558786,7.80369312139672,7.45259524952716,8.16099119334898,8.44293807732853,8.42628436886644,8.26751296542839
"DEPTOR",6.0369192808095,5.98172994756609,5.97322798136432,5.79027330391401,5.89163366275891,5.72867154447001,6.59259293712808,6.56337490750504,6.65906848108886,6.13145104042415,6.33305330411182,6.22759901672777
"MARCHF7",9.03749796346298,9.08054612726976,9.21757638389668,9.07125593134275,9.00742659669941,9.3923481253132,8.65019071405376,8.50305124469558,8.89028655420426,8.71031568732394,8.65591249352668,8.53079253201761
"AIDA",8.91133945757635,8.97989011818897,9.03218045120616,9.22036922173115,9.17470501854238,9.4702769577421,8.75713366087915,8.6795373830981,8.92690787708414,9.3737606995434,9.2872267266437,9.28208271577613
"NABP1",6.91069465826801,6.83645844128443,6.82906522852104,6.88300994495213,6.87953467384854,7.19778023436837,6.22048542103383,6.2700371152836,6.43703988108979,6.51800206990125,6.46218837245077,6.39025505873688
"CDCP1",7.96220072355421,7.88766661094541,7.91207042483159,8.26481983892477,8.27157499835865,8.2566976403776,7.21406772288963,7.17366668100242,7.10382206265801,7.1933899253133,7.24634863934214,7.18926342121055
"NT5DC2",8.61201815770971,8.59703015350293,8.62870103704623,7.91247563093814,8.02257436312594,7.74052503997139,8.45201598804695,8.56283984529334,8.55933211083581,7.85826842052651,7.89486076149126,7.91313913554857
"CENPH",6.45549431317018,6.61188893941969,6.61748954875618,6.23068478234409,6.25143518551685,6.68682215406613,6.85555267984813,6.65835514240435,7.10247931832132,7.10429904721674,6.98287873458599,6.88558122376482
"SIX1",6.04214931102388,5.99295946848796,6.00138378772595,6.61570875195701,6.59130614568673,6.67582950630742,5.99114289149154,6.02957145618685,5.95137796981107,6.52909171097786,6.71190782581198,6.58329996857902
"SKIL",5.42371356292032,5.70299664373459,5.50991534581477,5.42259945173318,5.17149240217027,5.69396124792251,6.47431751003957,6.45144760112518,6.84309779326285,6.91234859833708,6.3866267660576,6.44982795677948
"GPBP1",7.93197597738952,8.00381177691429,8.06191196996714,8.47074030663148,8.44977099823113,8.75374297477053,8.25971607640028,8.12110790464967,8.44491822559927,8.92652349219814,8.90511771979299,8.83190460776281
"GAS6-AS1",5.78646782244557,5.85457808902942,5.80977882939572,5.37279803122188,5.39868462976164,5.15016471577239,4.74711116237137,4.76512712186034,4.71985911296934,4.62984618739738,4.48071232169215,4.16396920847235
"SOWAHC",5.74793407003194,5.99016889491831,6.0313163340322,5.96324494031788,5.93850428298804,6.10807570916666,5.32099754548066,4.96994839541631,5.77459448638619,5.30452712813291,5.4965077210326,5.44704361386587
"BMP4",8.00841515691792,7.93091638836168,8.06742667842352,7.60498780874633,7.93295337894546,7.85509515062943,8.80511208478883,8.75425154615326,8.94408320209309,8.78270248353478,8.85836853685621,8.74037320057092
"BMP5",7.4482722934288,7.49777017941474,7.67892085154218,6.96438253163601,6.75130723573309,7.39045898026341,8.57949515938826,8.4881750985612,8.85173627060376,8.36847716475541,8.36210679837164,8.24655557400805
"SLC6A6",9.96275687900201,9.97952137097936,10.0660341002153,9.78240950019696,9.72082737087718,9.83964571778615,9.33073805017131,9.36084435162242,9.45914381107635,9.55574874657915,9.54724018139218,9.50149389367377
"SLC6A9",8.12153478704924,8.00105653280182,8.07597387101904,8.57431647529149,8.59562866929637,8.58647748009622,7.93983818589118,8.03175706015325,7.98644709038077,8.73458332165388,8.66182263813592,8.57820482131424
"BMP6",7.89363207803348,7.82959256758462,7.88548170300448,7.88430457963092,7.9044352849663,8.01450874133283,9.05109330250273,9.08809212269743,9.38872608827575,9.0619076407733,9.07088207678146,8.89025889878585
"SLC7A2",5.76233844627422,5.79954641538871,5.96755068894528,5.22335540726606,5.54120300538805,5.58818735964687,6.6176315918662,6.7206373217409,7.0847694656694,6.43146929068983,6.8319438939683,6.49832856903761
